AH1-V-ER0-M-EH2-N-T-AH0-L-IY0, GOVERNMENTALLY
IH1-R-AH0-S-IY0, CONSPIRACY
AE1-M-AH2-DH-ER0-Z, GRANDMOTHER'S(2) GRANDMOTHERS(3)
AE1-K-S-EH0-N-T-IH0-NG, ACCENTING
AE1-NG-B-AE0-NG-G-ER0-Z, GANGBANGERS
EH1-M-P-T, ATTEMPT CONTEMPT EMPT EXEMPT TEMPT UNKEMPT
IH1-R-IH0-K-S, CYRIX(2) LYRICS
EH1-P-ER0-D-IY0, JEOPARDY
EY1-L-OW0-Z, HALOS VASCONCELOS VELOZ
IH1-CH-AH0-L-EY2-T, RECAPITULATE
EH1-L-AO2-F, BELOFF SELLOFF
IH1-N-ER0-EY2-T-IH0-NG, INCINERATING
UW1-B-AH0-L-AH0-N-T, JUBILANT
UW1-K-AA2-N, YUKON
UW1-K-SH-IY0-ER0, BROOKSHIER
UW1-K-T-IY0, RUCHTI
EH1-S-TH-AH0-T-AH0-S-T, ANESTHETIST
AA1-DH-ER0-S-AH0-M, BOTHERSOME
EY1-N, ABSTAIN AGAIN(2) AHLEN AINE ALAIN ALAINE ALANE ALAYNE ALLAIN AMAIN AQUITAINE ARCANE ARRAIGN ASCERTAIN ATTAIN AYN BAHRAIN BAIN BAINE BANE BAYNE BEAUCHAINE BISCAYNE BLAIN BLAINE BLANE BLAYNE BRAIN BRATTAIN BUNTAIN BUTANE CAIN CAINE CAMPAIGN CANE CAYNE CHAIN CHAMPAGNE CHAMPAIGN CHAMPLAIN CHARLAYNE CHARMAIN CHARMAINE CHASTAIN CHEYNE COCAINE COMPLAIN CONSTRAIN CONTAIN COSTAIN COURCHAINE CRAIN CRAINE CRANE CRAYNE DAHRAIN DAIN DANE DAYNE DECRANE DEFRAIN DEIGN DELAINE DEMAIN DESCHAINE DESPAIN DETAIN DEVANE DEWAYNE DISDAIN DOMAIN DOMAINE DRAIN DRAINE DRANE DUAN(2) DUANE DUCHAINE DUFRANE DUMAINE DUQUESNE DUSHANE DUWAYNE DWAYNE ELAINE ELANE ELAYNE ENTERTAIN EXPLAIN FAIN FANE FAYNE FEIGN FEIN(2) FONTAINE FOUNTAINE FRAIN FRAINE FRANE FRAYN FRAYNE FREIN FREYNE GAIN GALANE GERMAIN GERMAINE GERMANE GRAIN GREIN HAHNE HAIN HANE HAYN HAYNE HELANE HEYN HEYNE HOSSAIN HUMANE HUSSAIN HUSSEIN IAIN INANE INGRAIN INHUMANE INSANE JAIN(2) JANE JAYNE JERMAINE JYISHANE KAHANE(2) KAIN KAINE KANE KAYNE KRAIN KRANE KREIN LAFOUNTAIN LAFOUNTAINE LAIN LAINE LAMONTAGNE LANE LARAINE LAYNE LEGERDEMAIN LEHANE LENNANE LN LORAIN LORAINE LORRAINE MACLAINE MACLEAN MAIN MAINE MAINTAIN MANE MAYNE MCBAIN MCBANE MCCAIN MCCANE MCCLAIN MCCLAINE MCCLANE MCGRAIN MCGRANE MCGUANE MCKAIN MCKANE MCLAIN MCLANE MCLEAN(2) MCQUAIN MCSHANE MCSWAIN MCWAIN MEYN MORAIN MORAINE MUNDANE MUSTAIN OBTAIN ORDAIN OVERTRAIN PAIGN PAIN PAINE PANE PARTAIN PAYNE PERTAIN PLAIN PLANE PREORDAIN PROFANE QUAIN RAIN RAINE RAYNE REFRAIN REGAIN REIGN REIN REINE REMAIN RESTRAIN RETAIN RETRAIN ROGAINE ROMAIN ROMAINE RUANE SAIN SAINE SANE SARTAIN SERBAINE SHAIN SHAINE SHANE SHAYNE SLAIN SLAINE SLANE SPAIN SPLAIN SPLAINE SPOKANE(2) SPRAIN STAIN STRAIN ST_GERMAIN ST_GERMAINE SUSTAIN SWAIN SWAINE SWAYNE SYLVAIN TERRAIN THAIN THAINE THANE THAYNE TIRANE TORAIN TRAIN TRANE TREMAINE TULANE TWAIN UKRAINE UPTAIN URBAIN URBANE VAIN VANE VEIN VEYNE VRAIN WAIN WANE WAYNE YEARGAIN ZANE
UW1-L-AH0-Z, AFULA'S GULAS KULAS LULA'S RUELAS
AA1-S-IY0-AE0-K, BANASIAK IGNASIAK ROSIAK STASIAK
IH1-NG-ER0, BINGER CLINGER DINGER INGER KLINGER LEFT-WINGER LINGER(2) MINGER RIGHT-WINGER RINGER SCHWINGER SINGER SLINGER SPRINGER STINGER STRINGER SWINGER WINGER WRINGER YINGER ZINGER
IH1-NG-G-ER0, FINGER INGAR LINGER
AH1-N-D-B-L-AH0-D, LUNDBLAD
IY1-K-S, ANTIQUES BATIKS(2) BEAKS BEEKS BELGIQUE'S BESPEAKS BOUTIQUES CHEEKS CREAKS CREEK'S CREEKS CRITIQUES DEAK'S EAKES FREAKS GEEKS GREEKS LEAKS LEEKS MEEKS PEAKES PEAKES' PEAKS PEAKS' PEEKS REEKS SEEKS SEIX SHEEKS SHEIK'S SHEIKS SHRIEKS SIKHS SNEAKS SPEAKES SPEAKS SQUEAKS STREAKS TECHNIQUES TELEPHONIQUES TWEAKS WEAKS WEEK'S WEEKES WEEKS WEEKS' WREAKS
UW1-AH0-L-IH0-S-T, DUELIST
IY1-B-UH0-R, NIEBUHR
OW1-L-S, FOLSE POLCE
EH1-N-D-SH-IH2-P, FRIENDSHIP
IY1-P-AO2-R-T, FREEPORT SEAPORT
AA1-K-ER0, AAKER BACHAR BACHER BLOCHER BLOCKER BROCKER CLOCKER COCKER CROCKER DOCKER FOKKER GAWKER HOCKER LAUGHER LOCHER LOCKER MAUCHER(2) MOCKER OCKER PLOCHER ROCKER SHAKUR SHOCKER SOCCER SOCHOR STOCKER YLVISAKER
AA1-S-K-AH0-V-IH2-T-S, MOSKOVITZ
EH1-N-ER0-JH-EH2-N, ENERGEN
IH1-NG-M-AE2-S-T-ER0, RINGMASTER
IY1-S-T-L-IY0, PRIESTLEY PRIESTLY
AA1-P-K-AO2-R-N, POPCORN SHOPKORN
AO1-S-W-ER2-D-Z, CROSSWORDS
IH1-N-T-ER0-F-EY2-S, INTERFACE
EH1-L-D-S-T-AY2-N-Z, FELDSTEIN'S(2)
AY1-N-D-S-AY2-D-AH0-D, BLINDSIDED
EY1-D-R-OW0-Z, PEDROS TADROS
IH1-CH-B-AO2-R-D, SWITCHBOARD
EH1-JH-AH0-N-D-EH2-R-IY0, LEGENDARY SEMILEGENDARY
IH1-M-L-ER0, HIMMLER IMLER
OW1-D-B-L-AA2-K, ROADBLOCK
UW1-AA0-R-K, RUARK
IH1-L-T-AA2-P-S, HILLTOPS
EH1-L-Y-UW0-JH-D, DELUGED
IH1-N-D-IH0-JH-AH0-N-T, INDIGENT
OY1-T-AH0-D, EXPLOITED(2) UNEXPLOITED
ER1-V-IY0-AH0-S, IMPERVIOUS
AA1-L-T-ER0-D, FALTERED
AO1-R-AH0-S-IH0-JH, BOROSAGE
UW1-AH0-L-ER0, JEWELER
AE1-B-R-AH0-K, LABRAKE
AA1-S-T-AH0-L-OW0, COSTILOW
AA1-N-V-AH0-L-UW2-SH-AH0-N, CONVOLUTION
AA1-S-N-AY0-D-ER0, STROSNIDER
AE1-N-OW0-V-ER0-Z, HANOVER'S
EH1-M-AH0-N-S, CLEMENCE KLEMENS
EH1-M-P-AH0, KEMPA KREMPA POTEMPA
UW1-D-IY0-AH0-S, STUDIOUS
UW1-K-AO2-R-Z, NUCOR'S
AA1-R-T-S-K-IY0, GARTZKE
AE1-B-ER0-EY2-T, COLLABORATE ELABORATE(2)
UW1-HH-AH0-Z, YUHAS
AO1-R-AH0-N-S-AH0-Z, FLORENCE'S LAWRENCE'S
AE1-K-B-ER0-D, BLACKBIRD
AO1-Z-IY0-EY2-T, NAUSEATE
UW1-R-OW0-F-AY2-T-ER0, EUROFIGHTER
UW1-T-AH0-N-EY2-T, AGGLUTINATE
AE1-D-AH0-L-EY2-D, ADELAIDE
ER1-L-D-AH0-M, EARLDOM
AE1-L-P-AY2-N, ALPINE MCALPINE
AO1-S-IH0-JH, GOSSAGE
AW1-T-K-AE2-S-T-S, OUTCASTS
AE1-K-AH0-B-IY0, JACKOBY MCABEE(2) MCCABE(2)
AA1-JH-UW0-L-Z, MODULES NODULES
ER1-T-IY2-Z, THIRTY'S(2)
EY1-T-R-AH0-N-AY2-Z-D, PATRONIZED
EH1-T-IY0-Z-B-ER0-G, GETTYSBURG
IH1-K-T-AH0, DICTA KIKTA
EH1-G-AH0-S-IY0-Z, LEGACIES
IH1-JH-ER0-EY2-T-ER0-Z, REFRIGERATORS
OW1-L-D-F-IH2-N-CH, GOLDFINCH
EH1-G-AH0-L-ER0, EGELER SCHWEGLER TEGELER
AA1-L-B-OW0-S, CALBOS
UH1-T-HH-OW2-L-D-Z, FOOTHOLDS
AE1-N-T-ER0-M-AH0-N, LANTERMAN
AE1-S-CH-ER0-AY2-Z, PASTEURIZE
AE1-B-R-IY0-AH0, CALABRIA SANABRIA
AE1-L-Y-AH0-N-Z, BATTALIONS ITALIANS MEDALLIONS SCALLIONS STALLIONS
AO1-L-T-AH0-N-Z, DALTON'S DALTONS WALTON'S WALTONS
AW1-B-AA2-K-ER0, LAUBACHER
AY1-V-L-IY0-ER0, LIVELIER
AA1-T-AH0-S-T-AH0-N-T-IH2-Z-AH0-M, PROTESTANTISM
EH1-P-L-AE2-D-ER0, STEPLADDER
ER1-G-L-IH0-NG, BERGLING BURGLING GURGLING(2)
AE1-N-Y-AH0-L-Z-AH0-Z, DANIELS'S
AA1-R-AH0-L, ARAL BARILE CARLE DELAUREL HARLE KARLE
AE1-M-P-S, CAMP'S CAMPS CAMPS' CHAMPS CLAMPS CRAMPS DAMPS DELCHAMPS KAMP'S KAMPS LAMPS RAMPS REVAMPS STAMPS TAMPS UNCLAMPS
EH1-K-R-AH0-T-EH2-R-IY0, SECRETARY UNDERSECRETARY
EY1-L-AY2-T-S, DAYLIGHTS
IH1-L-AH0-K-AH0-D-IY0, MCGILLICUDDY
IH1-N-CH-IY0, HINCHEY LUSINCHI MCGLINCHEY MINCHEY VINCI(2)
OW1-G-AA2-R-T-IY0, FOGARTY(2)
UW1-T-EY0-N, BUTANE(2)
AE1-N-D-M-AE2-S, LANDMASS
AH1-Z-W-ER0-D, BUZZWORD
EH1-D-Z, BEDS BIOMED'S BREADS DREADS ED'S EDDS EMBEDS FED'S FEDS FRED'S HEAD'S HEADS KEDS NED'S PUREBREDS REDHEADS REDS REDS' RETREADS SHEDS SHREDS SLEDS SLEDZ SPREADS TED'S THOROUGHBREDS THREADS TREADS WEDS
EH1-P-AH0-T, DECREPIT
IH1-P-AH0-S, BIPPUS DEFILIPPIS(2) EOHIPPUS
OW1-T-ER0-S-AY2-K-AH0-L, MOTORCYCLE
AA1-R-V-AH0-S-T-ER0-Z, HARVESTERS
AA1-M-ER0-F-EH0-L-T, SOMMERFELDT
AA1-R-L-B-ER0-G, CARLBERG
AE1-T-R-IH0-JH, MCFATRIDGE
AO1-DH-ER0, LAWTHER
EH1-N-ER0-D, CHENARD ENTERED(2) HENARD KENNARD LENARD LENHARD LENNARD LEONARD VENARD VENNARD
IY1-B-EH0-L-T, LIEBELT
AE1-L-AW0, BALLOWE PALAU
OW1-K-EY2-T-S, LOCATES
AE1-N-B-EH2-R-IY0-Z, CRANBERRIES
AE1-TH-JH, RATHJE
AE1-N-IH2-N, BRANIN CHANIN CLANIN FANNIN
AH1-D-AH0, HAGGADAH
EH1-S-T-F-IY0-L-D, WESTFIELD
AO1-N-S-AH0-N-T-R-EY2-T-AH0-D, CONCENTRATED
AY1-L-N-EH2-T, FILENET
AE1-N-IH0-NG, BANNING BRANNING CANNING CHANNING ENCHANTING(2) FANNING GRANTING(2) HANNING JANNING JOHANNING LANNING MANNING PANNING PLANNING PREPLANNING SCANNING SPANNING TANNING
EH1-R-HH-AA0-R-T, AIRHART EARHART(2) EHRHARDT EHRHART
AE1-K-ER0-AH0-N, SACCHARIN
ER1-N-P-AY2-K-S, TURNPIKES
IH1-G-Y-ER0-M-EH0-N-T, DISFIGUREMENT
IH1-N-B-AO2-L, PINBALL
EH1-S-AH0-S-EH2-R-AH0-L-IY0, UNNECESSARILY
IH1-N-D-M-IH2-R, WINDMERE
IH1-N-EH0-T, KINNETT MINET SINNETT VINET WINNETT
IH1-N-EH0-TH, SINEATH
AA1-HH-OW0, AHO DONAHO
AE1-N-T-IY2-V-IY2, CANTV
AO1-R-F-IH2-N, MORFIN
EH1-L-IH0-V, SHELEV
EY1-L-AH0-N, ALUN BAILON BALAN BAYLEN CALAN GALAN GALEN KALAN KALEN KEYLON MALAN NEYLON PHENOLPHTHALEIN STALON TAILLON VEILLON VENEZUELAN WALEN WHALEN
AA1-S-T-OW0-L-ER0, MOSTOLLER
AH1-NG-K-L-IH2-N, DUNKLIN
ER1-SH-IH2-P, ENTREPRENEURSHIP
IH1-S-T-AH0-K-R-AE2-T-S, ARISTOCRATS
IH1-SH-N-ER0-Z, PRACTITIONERS
AA1-N-SH-AH0-S-L-IY0, CONSCIOUSLY SUBCONSCIOUSLY UNCONSCIOUSLY
EH1-B-ER0-T-S, EBERTS
AE1-N-CH-ER0-D, BLANCHARD
IY1-AH0-Z, CASIAS COVARRUBIAS DOBIAS ENCINIAS FRIAS GALERIAS GARCIA'S GARCIAS GIA'S HOSEA'S IDEA'S IDEAS KOREA'S MARIA'S MEJIAS PIZZERIAS SHIAS SOFIA'S TANZANIA'S(2) TORTILLAS URIAS ZACARIAS ZIA'S
OW1-B-R-AH0-Z, COBRAS
EH1-S-T-AH0-M-EY0-T-S, GUESSTIMATES(2) UNDERESTIMATES(2)
AA1-L-AH0-D-Z, SOLIDS
AA1-P-IY0-R-IY2-D-ER0, COPYREADER
EY1-M-S-AH0-N, JAMESON
AE1-D-OW0, ALZADO BLADOW COLORADO(2) FORESHADOW HADDOW LADOW MCADOW OVERSHADOW
AA1-B-R-IH2-N-Z, DOBRINS KOBRIN'S
AE1-NG-W-EY2-Z, STRANGWAYES
AE1-T-R-IH0-K-AH0-L-IY0, THEATRICALLY
AO1-R-T-AH0-L-AY0-Z-D, IMMORTALIZED
AA1-L-N-AH0-S, HOLNESS
AE1-JH-ER0-D, BADGERED
AA1-N-AH0-F-ER0-Z, CONIFER'S CONIFERS
AE1-K-M-AE0-T-S, ACMAT'S
AE1-S-B-AH0, CASBAH
AA1-K-R-IH0-JH, LOCHRIDGE
AE1-S-K-AH0-M, BASCOM
EH1-N-D-R-IH0-K-S, HENDRICKS HENDRIKS HENDRIX HENDRYX KENDRICKS
AH1-M-SH-AH0-N, CONSUMPTION(2) RESUMPTION(3)
EH1-M-B-K-IY0, LEMBCKE LEMBKE
EH1-R-AH0-N-AO0-F, ARONOFF
ER1-IY0-AH0-N-T, LUXURIANT
EY1-L-OW2-D, PAYLOAD
AA1-M-D-IH2-N, COMDEN
AE1-M-B-IH2-N, RAMBIN
AH1-M-F-EH2-L-T, RUMFELT
AW1-T-IH0-NG-Z, OUTINGS
AE1-M-B-R-IH0-K, BAMBRICK
EH1-L-AH0-N-ER0-Z, ELEANOR'S(2)
EH1-S-AH0-L-T-AY2-N, HESELTINE(2)
EH1-SH-IH0-NG, MESHING REFRESHING
IH1-N-ER0-N-IY0, MCINERNY
IH1-N-S-AH2-L-T, INSULT(2)
IH1-P-M-EY2-K-ER0, CHIPMAKER
AE1-B-IH0-SH-AO2-N-Z, ARABICHON'S
AE1-N-S-IH0-NG, ADVANCING DANCING ENHANCING FINANCING GLANCING LANCING LANSING PRANCING REFINANCING ROMANCING SANSING
AE1-Z-AH0-L-IY2, RAZALEIGH
AE1-M-AH0-F-L-AA2-ZH-IH0-NG, CAMOUFLAGING
AH1-F-AH0-L-B-IY2-N, STUFFLEBEAN
AO1-P-L-AE2-N, LAWPLAN
ER1-T-R-IY0, MCMURTREY MCMURTRY
EY1-L-HH-UH2-K, TAILHOOK
IH1-P-F-ER0-D, LIPFORD
IH1-Z-AH0-N-Z, PRISON'S PRISONS
IY1-JH-AH0-N-EH2-R, LEGIONNAIRE
AA1-R-K-N-AH0-S, DARKNESS HARKNESS STARKNESS
IY1-M-IY0-AH0, ACADEMIA ANEMIA BOHEMIA EUPHEMIA FEMIA GEREMIA HYPOGLYCEMIA JEREMIA LEUKEMIA UREMIA
AA1-N-D-AH0-M, CONDOM
AE1-N-IH0-K-IY0, PANICKY
IY1-T-IH0-NG-Z, BEATINGS GREETINGS KEATING'S MEETING'S MEETINGS SEATINGS
OW1-L-M-Z, HOLMES(2)
AO1-R-M-EH2-N-T-AH0-D, TORMENTED
AH1-B-JH-EH0-K-S, SUBJECTS'(2)
AW1-K-S, FOWKES LOUCKS LOUKS
EH1-D-N-EH2-K, REDNECK
EH1-S-G-IY0, KRESGE
ER1-S-B-IY0, THURSBY
AE1-S-D-AH0-L, BLASDEL BLASDELL
OW1-AA2-TH-ER0-Z, COAUTHORS
AY1-N-F-EH2-L-D, KLEINFELD STEINFELD WEINFELD
OW1-Z-AH0-N-G-R-EH0-N, ROSENGREN
OY1-B-AH0-L, DEUBEL FOIBLE GREUBEL LOIBL ROYBAL
UW1-G-AH0-B-AW0-ER0, NEUGEBAUER
AE1-SH-L-AY2-T-S, FLASHLIGHTS
IH1-N-T-AH0-M-EY2-T-AH0-D, INTIMATED
AE1-N-JH-IH2-S, STRANGIS
AY1-DH-Z, TITHES
AY1-P-AE2-S-T, BYPASSED
AE1-S-T-AH0-N-EY2-T-IH0-NG, PROCRASTINATING
IH1-R-T-S, GEERTS WEERTS
AA1-R-B-AH0-CH, GARBACZ
IH1-D-AH0-L-IH0-NG, MIDDLING PIDDLING
AH1-N-D-ER0-B-ER2-D, THUNDERBIRD
AA1-S-AH0-K-Y-UW0-T-ER0-Z, PROSECUTORS'
AA1-N-CH-AH0, CONCHA FRANCIA LANCIA SANCIA
AO1-S-EH0-T, FAUCETT FAWCETT
EH1-L-F-IY0-AH0-N-Z, PHILADELPHIANS
AA1-HH-AA0, AHAH
EH1-S-IH0-K, ESSICK GEODESIC MESICK MESSICK TELEDESIC VANECEK VLCEK
IH1-P-M-AH0-N-Z, MIDSHIPMAN'S
IH1-R-AH0-N-S-AH0-Z, APPEARANCES CLEARANCES DISAPPEARANCES
IH1-S-T-AH0-M-W-AY2-D, SYSTEMWIDE
IH1-T-F-IY0-L-D, WHITFIELD
IY1-G-Z, FATIGUES INTRIGUES LEAGUE'S LEAGUES LEAGUES' TIEGS
IY1-T-AH0-M-AA2-R, ITAMAR
OW1-L-G-AH0, OLGA
AE1-F-S, CALF'S CRAFTS(2) FRAPH'S GAFFES GIRAFFES GRAPHS HAFT'S(2) HAFTS'(2) HAFTS(2) HALF'S LAUGHS STAFF'S STAFFS
UW1-F-T-AA2-P-S, ROOFTOPS
AE1-HH-AH0-TH-ER0, MAHATHIR
IH1-P-AO2-F-S, RIPOFFS
AO1-G-ER0, AUGER AUGUR MAUGER
IH1-L-T-AH0-N-Z, HILTON'S
IH1-M-B-AH0-S-AH0-L, IMBECILE
AE1-N-T-L-IY0, ANTLEY BRANTLEY BRANTLY CANTLEY
AE1-M-AA2-Z, GRANDMA'S(2) GRANDMAS(3)
AE1-S-T-ER0-T, HASTERT
AE1-V-AH0-L-IH0-NG, RAVELING TRAVELING TRAVELLING UNRAVELING
AE1-Z-ER0-D-L-IY0, HAPHAZARDLY
EH1-N-IY0-CH-IY0, DOMENICI(3)
EH1-S-K-Y-UW2-ER0, RESCUER
EY1-G-AH0, DELAVEGA IOMEGA NOREIGA NORIEGA OMEGA(2) ORTEGA SEGA(2) TALLADEGA VEGA VEIGA
AY1-V-AE2-L-V, BIVALVE
AW1-T-G-OW2-IH0-NG, OUTGOING
IH1-N-S-K, CHELYABINSK MINSK
UW1-SH-AH0-L-L-IY0, CRUCIALLY
UW1-Z-D, ABUSED ACCUSED AMUSED BEMUSED BRUISED CONFUSED CRUISED DEFUSED DIFFUSED DISABUSED ENTHUSED EXCUSED FUSED INFUSED MISUSED MUSED OOZED OVERUSED PERUSED RECUSED REFUSED REUSED RUSED SUFFUSED TRANSFUSED UNDERUSED UNUSED USED
OW1-T-S-M-AH0-N, GOETZMAN
AE1-N-D-K-W-IH2-S-T, SANDQUIST
EH1-L-M-AH0-T-S, HELMETS
AA1-N-AH0-G-HH-IY0, DONAGHEY DONAGHY
IH1-JH-UW0-AH0-L-AY0-Z-D, INDIVIDUALIZED
AE1-K-T-OW0-N, LACTONE
EH1-G-Y-AH0-L-ER0-L-IY0, IRREGULARLY REGULARLY
AE1-N-AH0-M-OW2-N, ANEMONE
IH1-DH-ER0, BITHER DITHER HITHER RYTHER SLITHER SMITHER THITHER WHITHER WITHER ZITHER
IH1-NG-HH-ER0-N, KINGHORN
AE1-N-AH0-L-M-AH0-N-T, ANNULMENT
AA1-D-SH-AH0-K, GODSHALK
IH1-P-CH-ER0-Z, SCRIPTURES
OW1-V-ER0-T-ER2-N-IH0-NG, OVERTURNING
IH1-N-D-ER0-G-AA2-D-AH0-N, PREKINDERGARTEN
UW1-N-AH0-F-AY2, REUNIFY UNIFY
EH1-SH-ER0-AY2-Z, DEPRESSURIZE PRESSURIZE
AO1-L-B-IY0, ALBIE DALBY WALBY
AA1-R-T-AH0-N-D, DISHEARTENED HEARTENED
AO1-R-M-AH0-N-D, LORMAND NORMAND ORMAND ORMOND ORMONDE THORMOND THORMUND WARMOND
AA1-S-K-OW0-W-EY0-N, MOSCOWANE
IH1-L-ER0-N, SKILLERN
AA1-R-T-TH-R-AA2-B, HEARTTHROB
AE1-K-AH0-L-R-OY2, MCELROY MCILROY
AE1-N-D-ER0-S-L-UW2-AH0-S, VANDERSLUIS
IH1-D-T-ER2-M, MIDTERM
IH1-L-K-M-AE2-N, MILKMAN
IH1-F-K-AH0, SLIFKA
IH1-S-AE2-K, MACISAAC
EH1-N-T-ER0-F-OW2-L-D, CENTERFOLD
AA1-L-V-OW0, CALVO CONSALVO DESALVO DISALVO FALVO MONTALVO MONTECALVO VALVO
AA1-D-AH0-HH-IY0-V-ER0, RODEHEAVER
AE1-L-T-OW0, ALTO
AH1-S-AO0-NG, SUSONG
EH1-D-N-AH0, EDNA
EH1-N-AH0-V-IY2-V, GENEVIEVE
EY1-F-IY0, CHAFEE(2) HAFEY
AW1-AH0-Z, CHICHAUHA'S
AH1-L-IH2-S, MULLIS TULLIS
AA1-L-AY0-CH-IH0-K, MIKOLAJCZYK
AA1-R-L-Z-R-UW2, KARLSRUHE
AE1-L-IH0-K, ALEC ALECK ALLICK ANENCEPHALIC FRALICK GALIK GALLIC GALLICK GALLIK HALIK HALLECK ITALIC MALICK MALIK MALLEK MALLICK METALLIC MIHALIC PHALLIC SALICK
IH1-P-HH-OW2-L-D-IH0-NG, SHIPHOLDING
AE1-M-IY0-T, GAMETE
AA1-S-T-AH0-N, BOSTON COSTON CROSTON OSTIN ROSTON
AA1-R-G-ER0-AH0-T-S, MARGARET'S
AE1-M-P-AE0-N-Z, SAMPANS
AO1-S-M-AH0-N, BOSSMAN BROSSMAN COSSMAN CROSSMAN GLOSSMAN GOSSMAN GROSSMANN KOSSMAN MOSSMAN ROSSMAN ROSSMANN SCHLOSSMAN WASSMAN
OW1-B-ER0-L-IY0, COBERLY MOBERLY OBERLY SOBERLY
OW1-T-OW0-N, MOTON
AA1-CH-IH0-NG, REWATCHING SWATCHING WATCHING
IH1-SH-AH0-Z, ALICIA'S DISHES FISH'S FISHES MILITIA'S MILITIAS SWISHES TISCH'S TISH'S TRICIA'S TRISHA'S WISHES
OW1-V-ER0-G-AA2-R-D, OVERGAARD
UH1-L-IH0-NG, PULLING SHUFFLING(2) UEHLING
UH1-L-IH2-N, PULLIN
AH1-M-K-AO0-R-P, SUMMCORP
AA1-P-B-ER0-G-Z, HOPBURG'S
IH1-S-AH0-P-L-IY0, MUNICIPALLY(2)
IH1-S-HH-AE2-P, MISHAP
UW1-HH-AO2-F, FRUEHAUF NEUHOFF
AE1-SH-N-AH0-L-AY0-Z-D, INTERNATIONALIZED(3)
AA1-R-D-AH0-N, ARDEN BARDEN CARDEN DARDEN GARDEN GELARDIN GUARDIN HARDEN JANARDHAN MARDEN MARDON PARDEN PARDON RARDON VARDEN
OW1-K-AH0-N-OW0-Z, POCONOS
EH1-K-L-AH0-S-L-IY0, RECKLESSLY
AE1-D-M-IH2-N-T-AH0-N, BADMINTON
EH1-N-IH0-SH-IH0-NG, REPLENISHING
UW1-L-AH2-V, TRUELOVE
IY1-D-L-IY0, FRIEDLEY FRIEDLY STEEDLEY
AE1-SH-AH0-N-AH0-L-Z, INTERNATIONAL'S INTERNATIONALS MULTINATIONALS NATIONAL'S NATIONALS
AE1-K-AH0-N-AH0-L-T-IY0, MCANULTY
AE1-T-R-AH0, BATRA CLEOPATRA MATRA TATRA
AO1-D-AH0-N-D, BROADENED
AA1-Z-AH0-L-AH0-N-D, ROSALIND ROSALYND
ER1-N-ER0, BERNER BURNER DERNER EARNER FERNER FURNER GERNER HERNER KERNER KIRNER LEARNER LERNER MERNER SCHWERNER SILBERNER STERNER THURNER THURNHER TURNER VERNER VERNOR WERNER
IH1-N-S-T-AH0-N-T-L-IY0, INSTANTLY
IH1-NG-K-IH0-NG, BLINKING DRINKING INKING LINKING PLINKING RETHINKING SHRINKING SINKING STINKING UNTHINKING WINKING
AE1-T-K-IH2-N-Z, ATKINS MATKINS
AH1-P-AH0-N-IY0, CO.(2)
AO1-R-SH-AH0-N-AH0-S-T, ABORTIONIST CONTORTIONIST
AY1-AH0-TH-ER2-M-IY0, DIATHERMY
IH1-N-ER0-EY2-T-ER0-Z, INCINERATORS
IH1-P-AH0-L-IY0, TRIPOLI
IY1-M-AH0-L-AH0, SEEMALA
IH1-N-F-AY2-T-IH0-NG, INFIGHTING
AH1-S-T-R-IY0-AH0, CONFINDUSTRIA INDUSTRIA
OW1-P-IY0-AH0-Z, ETHIOPIA'S UTOPIAS
IH1-L-AH0-M-AH0-N, MILLIMAN PRILLAMAN SILLIMAN
EY1-N-W-EH0, BIENVENUE
IH1-S-IH2-N-IH0-CH, PICINICH
EH1-V-ER0-AH0-N-D, REVEREND
IY1-G-F-R-IY2-D, SIEGFRIED
AA1-B-L-IH2-T, HOBLIT NOBLITT
EH1-S-ER0-V, MESERVE
OY1-F-R-EH2-N-D, BOYFRIEND EXBOYFRIEND
AA1-R-W-EY2-V, STARWAVE
AH1-B-L-AH0-K, REPUBLIC
AH1-M-P-N-AH0-M-AH0-N-T-S, ACCOMPANIMENTS
AA1-R-D-SH-IY2-L, ARDSHIEL
EH1-V-AH0-R-AY2-D, SEVAREID
AE1-L-AA0-R-N-OW2, GALARNEAU
AO1-R-AH0-L-AY2-N, CORALINE
AY1-T-HH-AW2-S-AH0-Z, LIGHTHOUSES
EH1-TH-K-L-IH2-F, HEATHCLIFF
UW1-R-S-AO0-R-JH, VOLKSFUERSORGE
AE1-S-IH0-R, YASSIR
AE1-T-W-AO2-L, CHATWAL
AE1-V-R-IH0-JH-D, AVERAGED
EH1-N-AH0-L-M-AH0-N-L-IY0, GENTLEMANLY(2)
AY1-N-D-L-AH0-S, MINDLESS
EH1-S-T-OW0, BANESTO ERNESTO LOPRESTO MODESTO RESTO
IH1-M-P-L-AH0-S-T, SIMPLEST
IY1-AH0-F-AY2-T-S, NEOPHYTES
UW1-V-AH0-N-AY2-L-Z, JUVENILE'S(2) JUVENILES(2)
AO1-R-P-ER0-AH0-L, CORPORAL
EH1-N-AH0-F-AY2-Z, IDENTIFIES(2)
EH1-L-T-AH0-Z, DELTA'S DELTAS
AE1-K-S-AH0-T-IH0-V, LAXATIVE
IH1-F-R-AE2-F, RIFFRAFF
IH1-M-R-IY0, DIMRY KIMREY
IH1-B-Y-UW0-T-S, CONTRIBUTES DISTRIBUTES TRIBUTES
AH1-N-D-R-AH0-D, HUNDRED
EH1-T-R-AE2-D-Z, TETRADS
